Матрица А:
   4   3   9
   7  17   4
  16   4  10
  15  18   4
   0  14   3
   6   0   1
   7   6   8
   0   0  16
   2  14   3
  10   4  11
  12   0  10
   4  16   9
  14  13   2
  18   2   0
   9  14   2
   5   9  12
  16   3  18
   4  12   9
   0   3   8
  17   3  14
  13   3   5
  19   3   7
  10   6   9
  19   6  17
   4   6  15

Несуществующий 1-й треугольник
Несуществующий 2-й треугольник
Несуществующий 3-й треугольник
Несуществующий 4-й треугольник
Несуществующий 5-й треугольник
Несуществующий 6-й треугольник
Несуществующий 7-й треугольник
Несуществующий 8-й треугольник
Несуществующий 9-й треугольник
Несуществующий 10-й треугольник
Несуществующий 11-й треугольник
Несуществующий 12-й треугольник
Несуществующий 13-й треугольник
Несуществующий 14-й треугольник
Несуществующий 15-й треугольник
Несуществующий 16-й треугольник
Несуществующий 17-й треугольник
Несуществующий 18-й треугольник
Несуществующий 19-й треугольник
Несуществующий 20-й треугольник
Несуществующий 21-й треугольник
Несуществующий 22-й треугольник
Несуществующий 23-й треугольник
Несуществующий 24-й треугольник
Несуществующий 25-й треугольник
